# Heliostat positions of PS10 STP
# Positions (kilometers) in X, Y and Z directions separated by a comma

-0.04386,0.07333,0.00517
-0.06112,0.05972,0.00517
-0.07433,0.04215,0.00517
-0.08262,0.0218,0.00517
-0.08545,0,0.00517
-0.08262,-0.0218,0.00517
-0.07433,-0.04215,0.00517
-0.06112,-0.05972,0.00517
-0.04386,-0.07333,0.00517
-0.0386,0.09,0.00517
-0.06036,0.07711,0.00517
-0.0781,0.05908,0.00517
-0.09063,0.0371,0.00517
-0.09711,0.01265,0.00517
-0.09711,-0.01265,0.00517
-0.09063,-0.0371,0.00517
-0.0781,-0.05908,0.00517
-0.06036,-0.07711,0.00517
-0.0386,-0.09,0.00517
-0.05614,0.095,0.00517
-0.07862,0.07743,0.00517
-0.09584,0.05469,0.00517
-0.10666,0.02829,0.00517
-0.11035,0,0.00517
-0.10666,-0.02829,0.00517
-0.09584,-0.05469,0.00517
-0.07862,-0.07743,0.00517
-0.05614,-0.095,0.00517
-0.04912,0.11333,0.00517
-0.07643,0.09704,0.00517
-0.09867,0.0743,0.00517
-0.11437,0.04665,0.00517
-0.12249,0.0159,0.00517
-0.12249,-0.0159,0.00517
-0.11437,-0.04665,0.00517
-0.09867,-0.0743,0.00517
-0.07643,-0.09704,0.00517
-0.04912,-0.11333,0.00517
-0.07018,0.11667,0.00517
-0.11851,0.06701,0.00517
-0.13615,0,0.00517
-0.11851,-0.06701,0.00517
-0.07018,-0.11667,0.00517
-0.06491,0.135,0.00517
-0.08715,0.12184,0.00517
-0.10679,0.10505,0.00517
-0.12325,0.08513,0.00517
-0.13605,0.06269,0.00517
-0.1448,0.03837,0.00517
-0.14924,0.01292,0.00517
-0.14924,-0.01292,0.00517
-0.1448,-0.03837,0.00517
-0.13605,-0.06269,0.00517
-0.12325,-0.08513,0.00517
-0.10679,-0.10505,0.00517
-0.08715,-0.12184,0.00517
-0.06491,-0.135,0.00517
-0.05614,0.15,0.00517
-0.08116,0.13808,0.00517
-0.10374,0.12202,0.00517
-0.12322,0.10231,0.00517
-0.13901,0.07954,0.00517
-0.15064,0.05439,0.00517
